Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_7.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_8.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_7.raw
P28271	P28271	ACOHC_MOUSE	Aco1	Cytoplasmic aconitate hydratase	17376.5	21097.1	2211.03	28006.2	18763.9	30713.1						27003.6	28337.4	17004.8	25311.2	24586	22261.1	27128.7	24497	29051.2	25589.7	22790.6	30902.1	25724.1	26270.8	25339.7
P28352	P28352	APEX1_MOUSE	Apex1	DNA repair nuclease/redox regulator APEX1	4026.5	2519.54		15662.2	2857.18	14445.3						3282.9	4593.35		4002.94	2548.04	1835.76	2008.18	2515.7	5154.44	3530.15	2681.02	4152.08	3067.62	6212.16	5935.93
P28474	P28474	ADHX_MOUSE	Adh5	Alcohol dehydrogenase class-3	42860.1	35670.8	6578.24	60512.5	31260.4	65099.6						48186.2	56776.4	29290.6	53619.6	44026.5	37014.2	44475.9	44632.7	50134.1	51472.2	45637.6	42589.5	47195.6	48662.3	53438.1
P28650	P28650	PURA1_MOUSE	Adss1	Adenylosuccinate synthetase isozyme 1	3131.09			7871.42	5282.89	5689.07							3081.23		2496.76	1749.36	1141.2	1952.92	2194.74	3812.09	1908.45	2213.68	3391.22	2433.45	3832.43	2223.4
P28651	P28651	CAH8_MOUSE	Ca8	Carbonic anhydrase-related protein	1957.74	3590.27											1355.66		2515.81	2109.69	2671	3351.46	2964.05	2726.68	2116.76	2053.15	2991.04	2953.75	2827.6	1531.69
P28656	P28656	NP1L1_MOUSE	Nap1l1	Nucleosome assembly protein 1-like 1				3144.22												1221.49	1915.56	1473.16	1218.78	914.097	2398.93			1165.75	2308.13	1143.61
P28658	P28658	ATX10_MOUSE	Atxn10	Ataxin-10	884.965												755.866		810.299	476.939	614.666			885.47	1255.7				548.573	
P28659	P28659;Q9Z0H4	CELF1_MOUSE	Celf1	CUGBP Elav-like family member 1	1617.8			2274.72		3179.76							3591.67		1808.81	1150.23	1663.82		1488.88	1624.12	1500.99	1570.25	4058.04	3853.52	3090.67	3089.14
P28660	P28660	NCKP1_MOUSE	Nckap1	Nck-associated protein 1	2374	2540.27	11572.1										1545.04		1010.33	1364.16	1560.1	3238.8	1130.49	3109.22	1047.22	1690.27	2481.88	4129.47	1290.81	3224.9
P28665	P28665;P28666	MUG1_MOUSE	Mug1	Murinoglobulin-1	15324.8	17189		16276.5	21303.7	15081						20531.3	23867.9	14440.5	19364.4	23157.8	21522.9	26227.1	21473.5	22823.7	17993.9	19058.7	19370	22810.5	23206.5	21980.1
P28666	P28666	MUG2_MOUSE	Mug2	Murinoglobulin-2						4183.31						9466.64	4780.99		2517.22	1277.83	2205.82	1230.27	2917.37	2791.25	4768.93	4793.3	5188.46	3128.94	1686.24	6261.97
P28667	P28667	MRP_MOUSE	Marcksl1	MARCKS-related protein	2400.31	2002.71														483.581	735.052				614.341	392.996			1367.21	
P28700	P28700;P28704;P28705	RXRA_MOUSE	Rxra	Retinoic acid receptor RXR-alpha	2242.26			6557.65	2921.89	7918.63							2279.3		1467.9	1237.36	1175.8	2149.27	1712.89	1552.89	1837.3	1462.13	2661.52	2208.7	2519.51	2765.51
P28843	P28843	DPP4_MOUSE	Dpp4	Dipeptidyl peptidase 4	16353.3	20127.2	9356.35	2636.33		1607.69						7418.53	12138.5	12835.3	8014.44	15138.2	13668.6	20184	10406	14204.7	10271.5	11625	7387.51	11723.9	4326.19	6350.47
P28867	P28867	KPCD_MOUSE	Prkcd	Protein kinase C delta type			7664.92																						1539.28	
P29037	P29037	TBP_MOUSE	Tbp	TATA-box-binding protein						1312.13							503.969		373.239	363.846			107.222					428.098	194.526	369.378
P29341	P29341	PABP1_MOUSE	Pabpc1	Polyadenylate-binding protein 1	26770.4	22155	39952.9	26698	33141.1	25018.2						31533.1	30092.7	260787	35019.4	30175.9	26818.6	32103.6	30829.4	34552.7	32024	28855.9	40445.1	31060.6	36782.3	35608.2
P29351	P29351	PTN6_MOUSE	Ptpn6	Tyrosine-protein phosphatase non-receptor type 6	5856.52	6789.87	50921.4	12888.2	19868.4							22541.9	7567.86		7113.27	7296.66	7261.84	6231.83	7923.54	7290.12	6555.08	6896.74	11088.1	10938.6	6431.4	8109.78
P29391	P29391	FRIL1_MOUSE	Ftl1	Ferritin light chain 1	248870	81581.8		8915.5	29478.1	1903.89				214603		9091.86	9709.5		14944.6	22987.7	10959	12473.8	23238.2	12382.4	4860.71	8369.31	19347.8	19252.4	31607.5	6047.69
P29416	P29416	HEXA_MOUSE	Hexa	Beta-hexosaminidase subunit alpha	1513.26	2243.14	82381.4										1051.84			396.572		676.644	669.633	717.031	1105.06	621.916	1104.85	2684.24		1640.73
P29595	P29595	NEDD8_MOUSE	Nedd8	NEDD8	3066.05		3168.99	6969.31									1190.86		1581.29	551.447	769.545	1967.1	1040.52	1397.25	1526.05		3606.97	1008.98	2620.35	1491.27
P29699	P29699	FETUA_MOUSE	Ahsg	Alpha-2-HS-glycoprotein													432.284		337.154	673.229	481.501				566.977	592.055	401.926	898.259	639.186	548.706
P29758	P29758	OAT_MOUSE	Oat	Ornithine aminotransferase, mitochondrial	7562.2	13578.9												2357.81	2160.69	12421.1	5801.19	17806.3	800.28	7060.96			552.761	8355.69	12191.7	
P30115	P30115	GSTA3_MOUSE	Gsta3	Glutathione S-transferase A3	497478	518266		720086	525049	479848			82489.4			673356	475575	347841	538205	491083	456852	596602	464466	600412	352578	277403	944832	544951	605762	406010
P30275	P30275	KCRU_MOUSE	Ckmt1	Creatine kinase U-type, mitochondrial	8426.21	4984.57	1.60178e+06			1077.15	90061.1		248095	159944			18178	27042.7		550.07	4597.54	3194.71	4031.31	2837.42			7608.81	7621.36	10603.5	5442.39
P30355	P30355	AL5AP_MOUSE	Alox5ap	Arachidonate 5-lipoxygenase-activating protein			12289.8												217.907								513.443			
P30416	P30416	FKBP4_MOUSE	Fkbp4	Peptidyl-prolyl cis-trans isomerase FKBP4	6032.43	5185.22	14642.9	8047.15	9798.98	10393.5			267477			11248.5	6682.62	10368.2	6289.65	7113.02	7988.43	7917.21	7565.83	7739.17	6730.49	5880.13	7743.15	10019.5	8747.7	10194.6
P30678	P30678	GNA15_MOUSE	Gna15	Guanine nucleotide-binding protein subunit alpha-15			20611.1															972.665	591.422						609.415	
P30681	P30681	HMGB2_MOUSE	Hmgb2	High mobility group protein B2	3853.25	4028.32											2764.04					1671.99		2588.7	2496.11					
P30999	P30999	CTND1_MOUSE	Ctnnd1	Catenin delta-1	12410.4	14199.5	26987.8									3151.9	7047.38	26382	7976.28	6172.14	9603.03	5751.72	7260.95	7549.72	6739.86	8305.83	9618.33	10509.3	6445.85	6620.04
P31001	P31001	DESM_MOUSE	Des	Desmin	2220.77	2761.29		16044.2									1916.82			814.522	7172.58		1239.64	1494.78	1199.69	1420.23		2842.04		
P31230	P31230	AIMP1_MOUSE	Aimp1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	5462.3	4014.75		5019.68									2945.08		2186.58	2015.61	2484.23	2626.36	2832.83	2030.38	2369.83	1881.94	2073.25	2496.08	1612.85	3098.29
P31649	P31649	S6A13_MOUSE	Slc6a13	Sodium- and chloride-dependent GABA transporter 2																	893.512		826.723		641.295	1131.16				
P31651	P31651	S6A12_MOUSE	Slc6a12	Sodium- and chloride-dependent betaine transporter	3091.45	6510.47											1191.88		2146.34	1808.85	3623.92	2061.78	1873.19	2191.65	2205.58	3841.16		4055.49	2227.94	1365.75
P31786	P31786	ACBP_MOUSE	Dbi	Acyl-CoA-binding protein	29079.5	17900.4		13102.1	99701.5	24310						23728.9	22700.8	28469.8	27950	23410.6	12303.5	23896	21516.3	14287.6	19776.5	15511.2	55041.1	19605.7	25906	19341.3
P31938	P31938	MP2K1_MOUSE	Map2k1	Dual specificity mitogen-activated protein kinase kinase 1	2856.12	1608.72	12145.5	2748.76		1984.49						2592.82	2283.9	4692.16	2778.99	2520.93	1886.57	2898.97	2733.3	2202.87	2242.56	1451.7	1712.87	1888.91	2953.19	4333.12
P32020	P32020	SCP2_MOUSE	Scp2	Sterol carrier protein 2	59928.8	37446.2	33334.1	98580.8	43583.1	125763			29699.6			132929	147512	96821.7	165125	164595	197883	158198	160593	150232	180775	160385	164092	151088	165437	153336
P32067	P32067	LA_MOUSE	Ssb	Lupus La protein homolog	4769.08	3752.82		19201.7	8662.51	19019.7						6051.18	6622.03	2531.63	4609.85	4280.52	2811.07	3338.02	4150.01	6320.17	4067.92	4143.29	6900.05	5544.36	6653.23	9450.21
P32233	P32233	DRG1_MOUSE	Drg1	Developmentally-regulated GTP-binding protein 1	2162.52	3621.72	3216.81	2054.98	3468.28	1398.89						3413.54	2719.54	5689.57	2225.67	2299.75	1849.61	2847.3	2627.16	3333.11	1813.29	2446.84	2977.61	2608.79	2683.06	2790.45
P32261	P32261	ANT3_MOUSE	Serpinc1	Antithrombin-III	7632.03	10005.5	2319.91	4042.77	4727.9	5999.77			34968.2			7428.04	6393.47		4811.07	6155.18	4413.2	5219.49	6085.69	5946.18	5358.19	4938.14	4816.64	5650.72	4532.12	6628.52
P32507	P32507	NECT2_MOUSE	Nectin2	Nectin-2															2763.84	1162.14										
P32883	P08556;P32883	RASK_MOUSE	Kras	GTPase KRas	3912.2	3223.89	12730.7										1808.33	7768.13	2737.66	2759.47	2733.57	2533.22		2656.76	2713.54	2049.8	4581.41	2997.44	3312.09	2048.13
P32921	P32921	SYWC_MOUSE	Wars1	Tryptophan--tRNA ligase, cytoplasmic	1563.07					3382.27							1483.45		2683.33	2139.53	2050.37	2438.3	2414.81	2543.34	2274.72	1358.78			2632.42	2122.97
P33173	P33173;Q60575;O35071	KIF1A_MOUSE	Kif1a	Kinesin-like protein KIF1A	2145.38	4314.28	1814.22	2272.27	7470.49	6731.45	82315.7	118429	47196.6	135925	700188	1675.31	1363.5		1367.6	994.885	1310.46	1156.91	1385.99	1399.65	897.066	1393.29	1783.76		611.01	841.301
P33267	P33267	CP2F2_MOUSE	Cyp2f2	Cytochrome P450 2F2	24975.3	14143.8			5360.02	89673.3						5817.71	133509		4255.92				1750.4		123494	143838	3541.95			112509
P33587	P33587	PROC_MOUSE	Proc	Vitamin K-dependent protein C	494.586			2344.67								1535.51	1151.17		765.981	1540.83	1174.73	1507.25	626.587	1243.69	789.647	806.526	1077.31	1403.35	1233.26	1215.82
P34022	P34022	RANG_MOUSE	Ranbp1	Ran-specific GTPase-activating protein		2588.48			2266.79	7270.7							3025.1		3481.59	3374.12	3700.12	4952.14	4116.49	3465.79	3514.29	4119.52	4973.41	5507.24	4313.24	4309.05
P34884	P34884	MIF_MOUSE	Mif	Macrophage migration inhibitory factor	15529.8	20397.8	22306.4	24798.9	33374.9	25315.5		199852	31445.9			14256.7	16468.8	13456.5	17280.5	16293.1	16146.2	22128.7	19572.8	26753.7	21482.1	18680.3	36335.8	20357.1	21587.9	22966
P34914	P34914	HYES_MOUSE	Ephx2	Bifunctional epoxide hydrolase 2	53938.8	78799.3	2415.68	120028	70304.5	120463						105868	101419	66290.4	114081	113117	111075	125906	109448	109717	109642	109133	109393	102173	109083	109957
P34927	P34927	ASGR1_MOUSE	Asgr1	Asialoglycoprotein receptor 1	23296.5	17272.5		7382.84	8226.3	6715.03						13063.4	15141.3	14779.1	15267.8	12983.7	13025.2	10912	12748.7	8511.5	17851.5	15996.1	11597.7	13001.2	9176.16	11675.9
P34928	P34928	APOC1_MOUSE	Apoc1	Apolipoprotein C-I	3813.25			2079.38		2934.02						2437.94	2585.98		1872.41	1726.83	1326.31	1396.35	2426.97	1649.42	1378.09	1888.41	1986.84	1251.15	1708.26	1888.12
P35123	P35123	UBP4_MOUSE	Usp4	Ubiquitin carboxyl-terminal hydrolase 4	2771.4	2383.6	7507.7	1565.85		1489.39							1538.6		2122.98	1917.39	1701.59	2300.23	2036.45	2288.56	2134.01	1982.29	2789.18	3065.41	2274.57	3004.85
P35235	P35235	PTN11_MOUSE	Ptpn11	Tyrosine-protein phosphatase non-receptor type 11	2760.18	3392.28				3888.77							2764.63	7622.98	1992.78	2368.5	2214.13	2002.56	2844.17	2817.52	2462.5	2177.95	2810.39	3451.12	2965.69	2642.68
P35276	P35276	RAB3D_MOUSE	Rab3d	Ras-related protein Rab-3D	1395.45		8119.49													356.364		1100.48							1919.63	1101.65
P35278	P35278	RAB5C_MOUSE	Rab5c	Ras-related protein Rab-5C	3107.23	2309.12	3503.62	3144.24	2405.63							2876.83	2583.05	5794.9	2522.95	2572.39	2633.62	1536.03	2092.55	2660.31	2859.8	2674.01	2874.97	2425.95	2738.99	2513.63
P35279	P35279	RAB6A_MOUSE	Rab6a	Ras-related protein Rab-6A	6242.17	7418.76	17919		4268.52							14528	3646.84	19147.4	3012.63	3045.99	3430.85	3581.93	3939.46	3240.85	2929.26	3194.49	3267.41	4299.16	3603.63	3125.41
P35282	P35282	RAB21_MOUSE	Rab21	Ras-related protein Rab-21	2350.29	1903.71	15234.5	2876.84			17315.8						3203.89		3052.44	2795.77	2560.11	3213.94	3447.99	4044.37	2427.99	2433.88	3267.2	2158.38	4053.58	4191.61
P35290	P35290	RAB24_MOUSE	Rab24	Ras-related protein Rab-24			6700.29	1646.63										11372.6	1459.98	1904	1800.83	2716.24	2217.1	2353.25	1402.97	1684.43	1487.76	2364.14	3477.95	2368.05
P35292	P35292	RAB17_MOUSE	Rab17	Ras-related protein Rab-17	10400.3	7541.45				22599.9									696.877	789.449		668.483		541.107	444.869	901.483			19341.6	
P35293	P35293	RAB18_MOUSE	Rab18	Ras-related protein Rab-18	13051.6	15565.1	16983.6	3830.06	7173.47	4836.17						7144.43	7399.26	12782.3	7685.8	7631.15	8121.51	6634.13	7608.23	7706.62	6547.35	5993.62	8367.13	7964.51	8832.21	7171.49
P35441	P35441	TSP1_MOUSE	Thbs1	Thrombospondin-1																							3905.49	224.808		902.84
P35486	P35486	ODPA_MOUSE	Pdha1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	7574.12	10033.5	16050.6	11024.1	8918.12	6488.47						11785.2	8189.36	15482.8	12318.8	13059.9	15635.1	15834.5	15336.5	14165.7	13007.3	12002.8	11131.1	13084	13838.9	10402.1
P35492	P35492	HUTH_MOUSE	Hal	Histidine ammonia-lyase	29354.1	35631.5	33280.7	1651.73	6470.16	55924.2	103891	137313	204107	69409.4		11570.4	43299		5365.43	2940.05	2249.44	9452.94	2062.51	8661.89	54370.8	54520.1	12058.4	10870.2	19447.2	64097.2
P35505	P35505	FAAA_MOUSE	Fah	Fumarylacetoacetase	114603	121602	111631	165163	115926	155285			15091.1	55406.3		114436	125686	84584.1	120244	119384	84618.4	136832	116025	107412	104993	84077.9	125924	111530	144298	123296
P35550	P35550	FBRL_MOUSE	Fbl	rRNA 2'-O-methyltransferase fibrillarin	10214.4	9899.45	26895.1	73506.4	77355.6	91137.5			148060			22909.5	34633.9	33202.1	20263	16165.5	6433.13	16184.1	15923.9	24258.5	16521.1	15849.2	31240.8	18304.5	27892.2	27377.9
P35564	P35564	CALX_MOUSE	Canx	Calnexin	17960.3	10745.2	22908.4	16100.5	11056.6	12452.7			295116			15373.7	16028.4	9506.55	15799.4	15339.8	15512.5	18007.3	19346.9	15876.9	15714.6	15993.4	13368.3	17879.9	17169.9	18087
P35576	P35576	G6PC1_MOUSE	G6pc1	Glucose-6-phosphatase catalytic subunit 1					2654.9	3031.52						2618.69	2229.78		2064.28	2232.35	1547.55	1465.08	1343.41	2565.08	3043.25	3584.6	1197.69	1910.02	1157.05	2436.29
P35585	P35585	AP1M1_MOUSE	Ap1m1	AP-1 complex subunit mu-1	5600.81	3810.19	33348.6	2256.55		2982.08							2291.27	2841.35	2866.81	3526	3165.34	3671.67	3639.41	2397.39	1875.82	2681.86	3573.35	3595.59	3557.23	4117.77
P35700	P35700	PRDX1_MOUSE	Prdx1	Peroxiredoxin-1	176168	174270	151780	127326	52937.8	123126	332087	248876	424437	425469	417358	180376	167292	99614.6	155942	147468	160351	168433	145083	172048	138298	134607	226861	148102	156091	119307
P35821	P35821	PTN1_MOUSE	Ptpn1	Tyrosine-protein phosphatase non-receptor type 1			5860.42													203.616	569.988	478.102	751.213	909.772	313.243	591.772			715.056	
P35922	P35922	FMR1_MOUSE	Fmr1	Fragile X messenger ribonucleoprotein 1	3298.07	4319.91		2775.92	3564	2296.91							3326.9	16336.1	3834.09	4490.72	3793.66	3936.31	3855.92	4412.45	3765.57	3944.52	3727.72	4823.84	3019.03	3528.86
P35951	P35951	LDLR_MOUSE	Ldlr	Low-density lipoprotein receptor	2475.61	3330.22											1380.64		1310.59	1110.44	1339.73	1309.13	1240.6	1334.65	2232.29	1446.01	1086.11	1417.54	1038.28	981.928
P35979	P35979	RL12_MOUSE	Rpl12	Large ribosomal subunit protein uL11	40459.1	42606	29077.9	37683.5	90864.4	53777.7			51325			46687.9	48291.8	99845.4	43047.1	46371.1	51523.4	59663.2	52178.8	42996.9	44613.1	44502.3	54703.2	49668.6	72544.5	67526.1
P35980	P35980	RL18_MOUSE	Rpl18	Large ribosomal subunit protein eL18	100857	116910	10699.3	55822.4	65790.1	68375.1				35363.2		47339.7	55362.6	98799.7	49355.6	57777.5	53839.7	57231.6	54442.8	60540.4	53944.6	50812.4	60791.7	48518.9	63477.3	54316
P36371	P36371	TAP2_MOUSE	Tap2	Antigen peptide transporter 2	1883.43	2020.11		1272.73											827.646	625.898	973.092	807.433	1345.28	894.993	917.121	848.476			1351.56	960.831
P36536	P36536	SAR1A_MOUSE	Sar1a	Small COPII coat GTPase SAR1A	3913.79	3263.83	1727.8	3584.84		3325.58							1753.17		2310.87	2572.65	3492.24	2770.25	3366.48	3124.92	2524.32	2793.77	2437.35	3075.12	2552.53	1971.63
P36552	P36552	HEM6_MOUSE	Cpox	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	15290.7	11289.4	10780.8	7626		2979.73						7047.87	6755.02	11597.8	7254.89	9044.46	8502.72	10745.3	8631.96	8280.11	5911.92	4935.41	8008.16	6775.36	9170	3489.24
P36993	P36993	PPM1B_MOUSE	Ppm1b	Protein phosphatase 1B				2330.94	9404.62	2459.61							2680.71	2020.83	3076.35	1894.14	2677.85	2965.13	2141.29	3492.13	2844.19	2150.1	3250.51	2192.48	2454.04	2015.65
P37040	P37040	NCPR_MOUSE	Por	NADPH--cytochrome P450 reductase	33901.1	38465.1	20892.3	25775.9	21735.6	15375.6						33721.9	21785.3	22594.7	30553.1	30077.5	29718.2	38289	31455.5	34714	17359.7	14887.1	27843.2	30720.4	36318.5	17080.4
P38060	P38060	HMGCL_MOUSE	Hmgcl	Hydroxymethylglutaryl-CoA lyase, mitochondrial	19005.4	14294.6		14155.9	5408.74	12119.4						20749.6	21197.3	11109.3	18481.1	23427.1	26970.5	22381.8	26629.1	20474.2	18406.4	22542.1	17364.8	24294.9	23098.9	17781.7
P38647	P38647	GRP75_MOUSE	Hspa9	Stress-70 protein, mitochondrial	40277.4	44593.7	54250.8	47104.4	47333.2	41197.3	52504.8		89106.6			48787.6	53020.5	42460.4	55866.3	55901.3	56199.8	54080.5	59136.7	48971.5	61933.1	62355.7	62841.1	55777.4	52101.5	53874.4
P39039	P39039	MBL1_MOUSE	Mbl1	Mannose-binding protein A	1402.28	1556.07		3033.9		2077.91						3602.79	2255.51		2259.59	2956.65	3119.08	2890.18	3074.63	3333.29	2451.59	2585.12	2328.88	2285.4	4685.38	1895.8
P39054	P39054;Q8BZ98	DYN2_MOUSE	Dnm2	Dynamin-2	2895.51	3633.53	7539.06	2753.85	4859.89	1685.91						4219.25	2861.71	11651.8	3391.09	2274.99	2864.6	2752.18	3664.49	3251.08	2969.44	3749.61	3489.78	3051.45	3409.83	3481.94
P39061	P39061	COIA1_MOUSE	Col18a1	Collagen alpha-1(XVIII) chain	1697.72	3144.03		25968		1010.96							18105.5		1408.48	921.392	1795.48	996.998	1314.51	929.095	1215.71	2288.23	1265.7	1378.44		
P39447	P39447	ZO1_MOUSE	Tjp1	Tight junction protein ZO-1	2317.65	2754.32	7379.48						5100.4				1443.62	5829.23	1550.47	1118.73	1871.39	1800.42	1152.27	1514.94	1448.14	1466.7		982.016	1030.31	873.286
P39688	P39688	FYN_MOUSE	Fyn	Tyrosine-protein kinase Fyn	3970.03	3918.59										265.082		14173.6												
P40124	P40124	CAP1_MOUSE	Cap1	Adenylyl cyclase-associated protein 1	6772.16	6717.05	12738.1	3911.08	3669.13	2227.72							4441.04	9760.08	4099.91	3779.5	4212.19	4184.8	3970.72	5281.35	3510.96	4738.67	4310.75	5286.35	5195.98	4618.08
P40142	P40142	TKT_MOUSE	Tkt	Transketolase	26468	30698.7	8328.86	98531.4	106194	132216	111896	40941.9	138621	74903.3		38625.5	50913.6	29298.6	38206.5	33927.6	19499.8	31916.8	29530.2	52409.3	35397.3	30107.6	63317.5	36487.2	50307.2	47003.6
P40237	P40237	CD82_MOUSE	Cd82	CD82 antigen	2451.1	1257.68											953.891	1065.99	1817.26	1328.08	2859.17		2063.96	998.847	1816.76	1780.28		3657.15	1352.62	864.417
P40336	P40336	VP26A_MOUSE	Vps26a	Vacuolar protein sorting-associated protein 26A	17933	15339.6	62392		6486.38	6507.38	133902		111709	60965.8		12277.7	10904.4	210310	14034.1	6617.33	7687.84	15197.9	7092.49	17232.6	8500.49	8177.67	13355.8	9454.39	7794.08	19613.5
P40630	P40630	TFAM_MOUSE	Tfam	Transcription factor A, mitochondrial	3115.11	2734.65			5499.08	4494.15						2876.12	3792.85		3616.7	3474.89	3063.18	2819.45	4684.45	3139.85	4442.92	5053.26	5309.63	3024.68	3064.41	3888.28
P40936	P40936	INMT_MOUSE	Inmt	Indolethylamine N-methyltransferase	56121.7	83777.4		188314	41374.3	106787			17230.9			96670.2	67736.2	51013.8	120991	124928	105552	122932	128108	128114	96722.4	74075.2	45167.5	109533	133670	90810.3
P41105	P41105	RL28_MOUSE	Rpl28	Large ribosomal subunit protein eL28	35827.4	37378.5	11451.7	12606.2	9736.16	14023.6						17497	14877.5	23173.4	15431.4	14633.9	14517.5	14205.8	18326.8	13677	12922.1	14017.5	14802.4	14156.8	18896	12147.4
P41216	P41216	ACSL1_MOUSE	Acsl1	Long-chain-fatty-acid--CoA ligase 1	42654.7	46129.8	30535.6	67432.6	24290.1	62785.7				2.04844e+06		77982.7	74186.1	66197.4	81279.7	73525.7	90243.5	87584.5	87693.8	83966.5	88761.3	80096.6	73317.9	79419.5	84297.9	72040.8
P41233	P41233	ABCA1_MOUSE	Abca1	Phospholipid-transporting ATPase ABCA1			9772.18						14494								940.914		757.187				1922.27		338.458	
P41241	P41241	CSK_MOUSE	Csk	Tyrosine-protein kinase CSK	1236.65	2465.38	16691.8	1762.19	7461.69	2644.43						2861.75	3529.59		3012.23	2503.35	2878.08	2421.83	2855.83	2422.09	2842.19	3321.33	3740.41	3425.2	2872.88	5904.69
P41317	P41317	MBL2_MOUSE	Mbl2	Mannose-binding protein C	53853	32795.8		17717		13012.8						26623.7	16230.4		19496.6	15172	18652.6	17076.9	17067.9	15420.9	14180	16415.6	18199.3	18054.9	18774	15139.6
P42125	P42125	ECI1_MOUSE	Eci1	Enoyl-CoA delta isomerase 1, mitochondrial	19944.7	20385.3		15900.5	12297.4	10131						20901.2	21268.5	13348.4	22785.8	25475.8	19589.6	23832.9	25554	18649.5	21841	19851.8	22694.9	21721.8	23265.1	18912.4
P42128	P42128	FOXK1_MOUSE	Foxk1	Forkhead box protein K1				1704.92		2280.47												597.174		587.013					754.802	752.673
P42208	P42208	SEPT2_MOUSE	Septin2	Septin-2	6215.37	5948.71	16606.8										2219.17		1575.06	2078.92	2095.26	1243.02	2687.63	2856.16	1979.64	2628.36	3854.46	1205.2	1817.05	2168.94
P42209	P42209	SEPT1_MOUSE	Septin1	Septin-1	1852.49	833.74		1056.36		2563.87							444.582		346.839					463.331	739.141		1226.82		698.293	365.896
P42225	P42225	STAT1_MOUSE	Stat1	Signal transducer and activator of transcription 1	5860	5922.02				7461.46							4753.28		16067.3	4008.96	4324.52	3495.76	4075.27	4306.84	3894.11	4467.47	5451.14	5561.57	4950.96	6550.37
P42227	P42227	STAT3_MOUSE	Stat3	Signal transducer and activator of transcription 3	3954	5999.61	20130	4369.02	1920.18	3607.64							2510.82	194306	2246.33	1636.12	1541.75	2330.4	2169.03	2904.23	2168.62	2858.34	2453.71	3470.74	4575.9	2033.48
P42232	P42232	STA5B_MOUSE	Stat5b	Signal transducer and activator of transcription 5B	39968	2286.33	10833.5	6446.04	9134.8	7430.78							3912.91		4326.7	4116.24	3616.61	4136.45	3901.42	5081.91	4207.97	3003.56	3246.22	7575.38	5087.06	5299.99
