Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_1_Slot2-34_1_17045.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_2_Slot2-34_1_17047.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_3_Slot2-34_1_17049.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_1_Slot2-35_1_17057.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_2_Slot2-35_1_17059.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_3_Slot2-35_1_17061.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_1_Slot2-36_1_17070.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_2_Slot2-36_1_17072.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_3_Slot2-36_1_17074.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_1_Slot2-34_1_17084.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_2_Slot2-34_1_17086.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_3_Slot2-34_1_17088.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_1_Slot2-37_1_17108.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_2_Slot2-37_1_17114.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_3_Slot2-37_1_17116.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_1_Slot2-33_1_17082.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_2_Slot2-33_1_17090.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_3_Slot2-33_1_17092.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_1_Slot2-35_1_17106.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_2_Slot2-35_1_17110.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_3_Slot2-35_1_17112.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_1_Slot2-34_1_17144.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_2_Slot2-34_1_17145.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_3_Slot2-34_1_17146.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_1_Slot2-36_1_17149.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_2_Slot2-36_1_17157.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_3_Slot2-36_1_17158.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_1_Slot2-33_1_17166.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_2_Slot2-33_1_17167.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_3_Slot2-33_1_17168.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_1_Slot2-35_1_17151.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_2_Slot2-35_1_17176.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_3_Slot2-35_1_17177.d
O88455	O88455		Dhcr7		48247.6	30796.1	28450.9	24214.1	25583.8	27164.8	24627.7	26135.6	27078.5	133951	144451	128101	101449	105832	103759	49604.2	48363.6	48910.4	21682.5	30383.3	27812.5	3143.25		1864.82	6308.88	5839.06	5990.57	116218	109497	95811	66506.3	83772.8	85444.4
O88456	O88456		Capns1		4319.73	6056.01	4858.36	5114.11	5272.2	6724.22	6620.08	7315.11	6515.85		17679.9	18392	6717.09	5884.92	8546.26	4934.64	6470.16	5370.6	4477.88	4377.76	4155.4	3858.54	3404.18	3279.44	4765.24	4300.53	4411.61	6735.95	6083.35	6496.87	11384.4	9492.78	6983.1
O88487	O88487		Dync1i2		14939.9	6823.74	9655.1	8478.66	8203.23	11542.2	8089.55	9038.63	7200.64	31008.6	19066.5		6854.77	11194.5		7188.54	8690.99	8062.69	6728.38	7041.44	7953.43	5792.25	5251.83	5485.79	9594.86	9232.2	7882.55	10200	6519.2	8160.27	20146.6	16720.5	14434.3
O88491	O88491		Nsd1								1556.45	1138.67								1468.47		842.792	1613.26	1553.04	1428.02	1716.53		1237.38	395.132	952.896	845.716	1052.56	883.067	615.636		2116.74	1877.57
O88520	O88520		Shoc2		2837.61	2291.48	3709.52	2491.39	2312.01	2686.81	2038.19	2126.89	2438.12	2926.45			10487.8			2061.34	2205.69	2088.61	2253.54	2377.89	2152.71	1852.72	2806.89	1595.43	2522.87	2417.57	2592.11	2423.01	2422.51	2233.26	3444.03	3066.04	3101.5
O88522	O88522		Ikbkg							1110.59		1759.22	1152.38							1029.08	1270	1322.26	1774.62	1691.53	1319.57				2152.83	1622.16	1932.99	2081.09	1794.9	1849.83		1582.36	
O88531	O88531		Ppt1		6198.9	6455.2		4570.37	7101.36	6247.07	4040.62	4076.36	4124.5						10196.8	4577.98	5786.88	5118.28	6846.8	6432.58	6609.33	6111.74	4078.43	4896.56	7396.51	7608.28	6805.02	8627.46	8092.36	9036.49	12384.8	11405.6	12016.3
O88532	O88532		Zfr						2215.9	2700.19	1233.32	1869.69	1891.49				2858.84	2134.25	3021.4	1385.31	1748.7	1329.32	1496.01	2332.82	1160.78	1795.59	1464.34	1758.74	2336.88	2437.02	2513.95	1660.17	1675.67	1781.66	3442.12	2419.54	2656.97
O88533	O88533		Ddc		16273.3	18183.2	19731.7	18583	16137.2	16486.8	19572.5	19329.6	18434.3	99387.9	103471	83446.7	74073.7	81943.5	11785.2	19523.9	19731.4	19977.9	24091.4	22800.6	23970.1	21403.6	19445.8	18680.9	32460.5	30824	31182.4	23419.2	25085.2	25369.4	49346.2	42018.6	42561
O88543	O88543		Cops3		10528	12008.6	17222.1	15563.9	10830.6	16063.8	11893.6	13042.2	13261	73814.6	73705.9	56557.8	29979.3	29428.3	27357.4	14555.4	14915.6	15292.2	13708.3	13595.3	13137.3	8342.99	9639.06	6927.22	13957.1	4536.24	11024.3	8438.01	9041.43	9341.7	16772	12593	13698.6
O88544	O88544		Cops4		11632.4	11040.5	11673.6	10899.7	11903.5	11415.5	11118.6	12697.8	11964	36154.1	37878.7	40526.2	22199.1	25662.2	31090.7	11351.8	12045.8	12177.9	11935.1	11442.9	11739.2	12801.4	13688.3	13006.9	13085.9	12434.9	11336.9	9348.7	9404.73	10515	14078.4	10299.9	12288.3
O88545	O88545		Cops6		6797.15	7942.63	7308.57	6918.87	4689.21	7614.39	5896.69	5908.47	5683.37				7842.63	8884.36	7965.42	6547.3	6193.17	5245.48	6537.92	6454.2	6635.84	5427.54	5872.82	5534.7	9322.64	10807.8	10398.6	11592.4	10477.8	10754.7	10413.5	9937.62	9757.67
O88551	O88551		Cldn1								2932.16	2324.22	2003.17							3726.24	2684.46	2379.25	3692.67	3507.88	4022.59			1710.72	4769.43	5226.44	4138.99	4559.54	4744.44	5054.39	3023.01	3163.2	3292.7
O88552	O88552		Cldn2										325.553											261.235			389.841		588.597	396.323	457.702	415.315		580.806			
O88569	O88569		Hnrnpa2b1		164007	169311	142713	147232	135986	131689	132093	140053	134232	166517	231574	238981	94185.8	112898	110719	157310	152667	155688	129205	123793	115586	83502	81514.2	80267.8	140152	120668	111386	132933	119683	119509	159657	143632	151786
O88573	O88573		Aff1		1554.69				1029.11	665.887	903.185									911.284	1747.34	1364.67	1188.46	1099.73	1320.53	1062.98	1449.3	1389.32	2546.83	2345.89	2459.96	890.261	781.32	883.063	1216.04		
O88587	O88587		Comt		135773	133451	165903	145452	140136	132381	121540	138868	132903	234524	259335	271999	156275	144054	137948	91524.6	88046.2	70670.4	80766	78101.1	83706.7	57455.7	60102.3	58577.3	16137.4	17082.2	20529.1	61670	67693.3	70650.1	90701.6	84075	141460
O88622	O88622		Parg		2771.52						1668.43	1718.01	2601.98							2639.16	1875.51	1899.81	3271.83	2848.39	2704.62				1754.63	3362.91	2773	3471.38	2714.03	2993	4212.81	4340.3	5555.35
O88623	O88623		Usp2						880.522		800.292														620.623		890.834	641.055	850.461	758.29	772.064		714.424			1556.41	996.228
O88630	O88630		Gosr1						2383.2		2871.93		2428.93										2330.87	2008.61			2325.8	1474.14	3239.58	2662.34	2517.4	3883.66	3807.53	3683.26	4628.6	4469.26	4967.14
O88653	O88653		Lamtor3																	737.46	1241.24	1130.44	1066.42	846.434	1163.14						271.032						
O88668	O88668		Creg1								3270.47	4194.22	4102.71							7462.35	7625.79	10525.2	10203	10453.5	10457.5				2581.91	2330.07	2477.7	12691	13177.1	9851.63	29259.1	4953.87	6302.47
O88685	O88685		Psmc3		38536.2	39307.8	37887	40255.4	45079.7	36376.4	36235.4	35473.7	34158.3	237167	109892	82443.6	55379.7	69687.1	58727.9	28382.6	31020.7	27792.3	30092.7	29782	30787.9	30731.4	29301.3	29702	25261	23890.2	21800.2	27419.5	31819.1	30610.8	38748.3	36474.7	41197.3
O88696	O88696		Clpp		33408.7	44589.3	35456.6	32667.6	29636.4	31302.7	37076.8	36362.4	37892.6	168655	141150	131871	52028.5	56121.1	49700.9	36065.1	37403.4	34586.1	40226.7	38769.5	36690.3	34377	37105.7	38175.4	42181.1	42594.7	43567.2	38720.7	33284.1	35612.4	18137	19614	22925.1
O88697	O88697		Stk16									1355.4	1956.52							1136.41	1029.43		1194.89	876.362	879.703	1122.49	1998.25	1143.07	2758.96	3120.32		1865.88	1820.55	1681.85	4993.22	4145.63	3577.36
O88712	O88712		Ctbp1		9214.07	8460.93	11065.9	6803.72	7032.29	9940.61	5770.07	7092.6	5935.77	30698.7	25604.8	21810.7	13029.9	15100.2	14517.2	7418.82	7431.86	6382.36	5783.56	6157.96	5142.58	6466.28	5863.93	6286.61	7153.47	7599.24	7785.26	7549.06	9100.82	7845.52	8100.74	8287.98	7919.96
O88736	O88736		Hsd17b7		2796.99	2480.25	5475.45	3502.96	4282.4	4750.1	5653.55	5945.22	6405.91							5916.93	6586.93	4876.59	7100.78	6462.26	6376.96	5457.74	5906.67	5822.61	7612.52	8507.62	8620.98	8411.08	8247.38	8404.29	9694.36	8919.77	8875.04
O88738	O88738		Birc6		2764.63	2882.18	3513.73	2243.9	3636.64	2699.9	3051.94	2879.65	3240.44	13116.4		7748.7	4156.41	5111.94	5209.88	2922	3128.46	3065.03	3305.2	3468.4	3605.86	3199.37	3635.74	3596.4	5396.13	5370.26	4588.32	4878.64	5045.3	4463.89	6732.34	7783.63	7690.45
O88746	O88746		Tom1		5479.69	4242.61	3459.87	4562.32	4235.11	5383.23	4855.23	4464.66	4247.73	21061.2	19040	16997	8916.36	11071.7	10237.1	5819.22	5094.5	5550.41	4181.66	4027.33	3987.35	5036.34	4777.44	4739.2	6175.4	4663.53	3712.19	5083.78	5006.73	5253.06	2216.43	2040.22	5429.03
O88783	O88783		F5			4901.1		4323.57	3536.74		4058.73	4172.27	4496.87							3820.94	3959.72	4208.55	3272.1	3636.57	4022.86	6018.14	3830.93	3549.69	3093.38	3055.45	2840.71	3291.46	3368.11	3121.51	4107.72	3559.37	3940.94
O88792	O88792		F11r		2879.39	4657.11	9659.34	4658.7	4481.49	6347.62	4248.27	4697.89	4798.03					5472.89	3563.8	5858.86	5839.76	6017.33	7413.96	6795.78	7235.75	6976.12	6126.6	4494.33	2232.63	1869.3	3217.82	4603.73	3551.21	4569.79			
O88796	O88796		Rpp30							4115.66	1370.73	2299.26								2320.43	2606.16	2449.25	2083.52	2221.37	2725.44	2266.85	2551.45	2992.91	2726.64	2396.34	2992.21	2910.26	2823.31	2704.02	3132.37	3040.57	2973.14
O88803	O88803		Lect2			873.481					851.677		1102.53													1116.69	1328.35	1004.62			789.97	298.989	583.319	536.737	835.008	1408.47	
O88822	O88822		Sc5d		5414.31	5971.19	5936.47		6225.27	6281.69	5583.85	4251.61	4865.59				5800.6		6084.99	5429.69	4890.61	5939.6					1159.38		2209.39	1841.06	4342.84	4983.8	4195.19	4393.36	7463.42	10784.3	3651.59
O88829	O88829		St3gal5								1631.84													1943.75	2106.16		1904.67				541.732						
O88833	O88833		Cyp4a10			4106.43			4500.2		13093.3	14106.7	13666.2				26097		25417.4	10751	8903.49	10827.9	10930.3	9950.21	11069.7	15514.9	15140.9	11406.4	13970.9	18675.2	13494.1	13074	12499.5	11900.3	19063.9	18927.3	16846.6
O88843	O88843		Cradd								797.681	682.566	812.672							1100.09		816.235	652.427	845.297	1026.58							1905.47	1641.94	1799.29	3623.12	3222.63	2718.65
O88844	O88844		Idh1		309524	302682	363581	357812	360105	383395	401367	391044	389573	990592	1.21048e+06	1.12435e+06	469823	531624	434957	380529	356604	356184	400105	406435	376268	314340	320717	336643	367164	345064	334527	424516	366603	371378	543665	532096	435290
O88845	O88845		Akap10									1661.71										1296.19	1248.89	1633.41		1412.99		1165.72		2146.3	938.038						
O88848	O88848		Arl6																	518.478			318.258		199.44				438.105	393.973				336.759	1428.09	797.69	767.549
O88851	O88851		Rbbp9		11120.4		12730.6	8870.87	11946.9	11389.4	8004.02	8746.04	10316.2	72175.6	84435.9	70668.6	47481.6	41045.4	42098.6	8706.16	10088.3	8948.45	9585.02	8651.14	9135.64	6550.29	6020.53	5997.05	10649.2	9296.8	9737.4	7731.2	6784.21	9007.21	22992.1	19589.9	20009.8
O88874	O88874		Ccnk								2839.08	2659.34	2505.69							2625.83	2574.5	2948.68	2494.95	2824.68	2351.14	2035.45	2013.64	1930.26					1204.37				
O88876	O88876		Dhrs3			7241.01	7394.95	6035.05	6443.53	5158.22	6053.48	5286.7	6599.76		21387.4	17479.6	13248.8	14983.4	14947	7269.87	6801.53	6129.15	6846.89	5575.33	7667.76	5093.12	5230.15	4598.96	4881.03	5150.38	4399.31	5566.7	6177.25	5593.96	9609.68	7045.99	9181.7
O88888	O88888		Apba3					1274.56	1345.26		1250.63	2716.65	1940.48							1865.8	1730.57	2038.56	2271.49	2217.33	2497.42	2286.5	2438.63	2701.47				1478.86	1413.06				
O88895	O88895		Hdac3								1193.2	924.25	1003.18							1126.95	1283.89	1519.07	1021.83	862.894	1041.93				523.301	622.609				570.333			
O88907	O88907		Pias1																	583.603	598.119	573.851	552.148	671.097	520.012	907.405	1058.03	670.53	1039.76	1027.51	1041.6	704.494	920.24	826.396	938.985	806.351	1121.59
O88908	O88908		Soat2		12240.7	13869.2	13189.5	16728.8	13112.4	12064.9	12176.8	12690	12548.3	16767		21077.4	18186.3	17745.4	19588.2	10099.4	10392.9	12110.6	9851.52	9132.66	9498.06	7439.37	6407.34	7049.81	5576.89	7664.27	7127.21	4497.49	5624.45	5828.52	9391.09	15522.1	16462.8
O88947	O88947		F10		8756.02	10153.4	11214	8689.98	6907.17	6279.46	7066.91	6846.99	7401.08	64346.9	41546.3	36214	19372.9	19892.9	20112.7	12384.9	10586.8	10439.6	11375.4	12550	12336.7	10420.7	11997.6	12713.8	5765.43	5623.56	6552.51	4069.11	5041.6	5264.28	949.003		
O88952	O88952		Lin7c		1461.77			2629.91	1808.63	1833.41	3077.73	2374.28	2548.72	4692.36		5808.27	6304.73	5315.8	5110.34	2297.07	2525.82	2610.88	3657.64	3965.7	3709	5927.94	4089.75	4993.22				2793		3121.45			
O88958	O88958		Gnpda1		2758.78	3041.28	4292.68	2474.91	2485.63	3820.84	2894.88	2526.79	2822.66							2575.13	2340.46	2688.07	2928.49	2906.65	2291.02	2938.25	2953.31	3103.41	1580.77	2691.61	2081.67	3144.84	2193.12	2475	4466.29	4390.37	3855.88
O88962	O88962		Cyp8b1		13899.4	14886.2	15878.6	13433.6	14192.1	15444.5	11500.9	12083.3	10259.6	81914	74406	72797.7	37938.3	37118.1	31741.6	14205.4	14633.5	13536.7	12447.2	12114.8	12295.1	16341.3	16695.6	15780.4	14570.6	15275.4	14483.8	13604.4	13270.8	13679.2	28079.6	22356.5	21269.9
O88967	O88967		Yme1l1		3220.06	4040.94	2952.79	3904.41	4628.75	4285.83	5022.33	3975.48	4333.12			12114.5	8906.12	4915.59	9323.25	3510.36	4291.74	4107.26	4350.77	3340.24	4535.99	6565.38	6514.2	5635.98	3904.19	3977.23	4119.43	2875.31	3223.61	3268.59	5827.46	5756.21	5750.53
O88968	O88968		Tcn2			31928.2	37305.9	37457.1	31257.7	36765.2		650.924	980.576							838.968		920.493	1009.51	996.014	1129.21				1042.91	1019.5	1281.92	830.554	974.724	1032.14		1855.74	1581.13
O88983	O88983		Stx8		3417.86	3930.41	4632.77	3953.36	3838.19	4154.03	3521.92	3803.74	3746.14							2203.96	2759.53	2298.96	2324.49	2699.37	2944.08	4375.11	3318.14	4680.16	3280.04	2537.06	2907.4	4889.04	4164	5132.54	5435.67	4965.56	5113.93
O88986	O88986		Gcat		13131.8	16314.4	17596.9	18677	18243.9	14845.5	17012.1	16852.5	16700.9		125840		30620.2	25380.2	19487.1	19370.1	18735.2	20490.3	18448.4	18204	20175.7	17281.2	15688.5	15661.8	23703.7	22480.6	21645.3	19676.5	20696.5	20495	27001.3	23699.8	23983.6
O89001	O89001		Cpd								3417.47	3629.92	3405.97								1665		2286.23	2216.16	1713.85	1584.23	1704.8	1681.78	2141.8	1685.57	1523.7		2411.05	1773.46			
O89016	O89016		Abcd4		2474.02		1779.87	821.921	1698.51	1234.11	1613.4	1491.08	1575.54							1351.37	1148.78	1651.09	1334.85	1486.14	1715.37	1092.82	1010.55	1084.86									
O89017	O89017		Lgmn			5465.95	2563.85		2765.74	3643.45	4618.54	4503.14	3638.48							2594.14	3435.66	2306.53	4743.45	4673.29	4222.26	3097.74	3637.74	3151.75	4771.27	4862.78	4830.72	4738.78	5164.89	4431.36	8148.62	6927.49	6216.69
O89020	O89020		Afm				1270.1		514.244			572.788	506.018									951.019	649.555	563.858	758.049	1004.19	672.263	916.96	801.703	889.662	915.049	722.162	609.558	603.026	1880.17	1308.01	925.337
O89023	O89023		Tpp1		7114.67	6684.71	6401.06	7189.87	6620.39	8414.06	8156.33	7294.74	8530.53				15497.8	16754.6		9791.57	10469.2	9661.33	9338.41	10037.7	9165.51	5898.83	5198.12	5517.14	10948.1	11810.4	12268.4	11325.8	10524	11653.2	8471.89	9776.25	9478.96
O89050	O89050		Mkln1						2794.4	8885.46										4719.59	5538.17	4935.64	4320.6	3757.11	3696.41			2991.67	3684.41	3426.78	4941.14	3771.15	3791.16	3523.83	5653.05	3918.17	3437.8
O89051	O89051		Itm2b				649.84		700.572	856.981	647.493	735.722	767.313							1211.62	1244.82	1273.86	1388.19	1177.51	1377.26	1065.57	1080.59	968.446	2071.81	2391.01	2890.93	2236.94	1509.43	1834.47	6545.84	3425.86	2669.6
O89053	O89053		Coro1a		12158.9	10778.4	7565.71	7086.13	9494.36	9888.27	8303.08	8089.77	7587.92	33630.4	48373.7	33263.6	8162.41	7668.28	6908.93	7514.53	6257.51	6188.87	4291.2	4393.52	5068.11	8038.38	8399.84	7046.06	10228.4	8815.01	8436.77	9917.92	8685.13	9349.53	17996.1	9499.18	10722.4
O89079	O89079		Cope		11549.1	9953.61	8557.18	7274.98	7735.64	8591.96	9249.5	10789.5	9177.58							12968.6	13088.6	11410.5	15318.5	14384.4	14497.3	8352.1	8960.91	8948.08	13674	12389	12943.8	12049	12041.3	14031.2	15820.7	16043.8	17350.8
O89086	O89086		Rbm3		8012.9	6628.14	6125.92	5120.94	4716.56	6035.32	5957.87	4864.54	5213.53							6061.43	5349.64	6907.82	4867.15	5641.19	5743.47	2845.78	3023.17	3237.55	3373.89	3566.97	3727.71	2865.36	2705.36	3320.83	1824.53	1756.46	1862.64
O89106	O89106		Fhit				2868.92				553.586	989.981								1905.28	1451.46	1171.01	1735.36	1620.2	1890.99				683.717	896.705	754.02	2394.32	2052.75	2351.11	3486.2	3219.06	2880.98
O89110	O89110		Casp8		7866.94	7810.46	8987.77	7254.94	9125	6686.68	6876.08	6918.14	7414.5							9311.76	9210.9	9898.65	11620.9	9074.02	9384.67	10035	10326.4	7398.21	11265.2	10911.3	11398.9	7848.99	7910.34	8229.53	15903.7	12200.8	10742.5
O89112	O89112		Lancl1		12137.3	9427.72	9977.36	9882.11	10097.9	8950.51	9008.06	9364.07	9541.47							9371.24	8189.46	9944.41	9333.32	9793.1	9584.38	7961.36	7456.96	7757.71	5410.65	4825.36	4745.28	6108.11	5715.24	6006.24	11221.1	6507.42	4656.67
P00158	P00158		Mt-Cyb		10614.1	9357.01	12370.3	12284.1	11543.2	12266	15303.4	13613.3	15153.7							21172.2	21398.4	20738.7	14799.8	13318.9	13464.5	5731.53	5931	6015.89	6298.56	6191.74	5201.41		7751.35	5235.97			11259.8
P00186	P00186		Cyp1a2		44320.6	39889.7	46704.8	76302	73431.5	77263.5	165089	166839	169919	249516	225085	257678	82869.6	73501.4	77517.7	105412	100043	105839	112118	112817	113575	117850	123532	118088	122579	120455	116514	116758	120997	121710	113143	111881	111990
P00329	P00329		Adh1		1.01935e+06	1.0854e+06	966252	1.01681e+06	1.04754e+06	993546	986306	1.06681e+06	1.02216e+06	4.06348e+06	1.77987e+06	3.24079e+06	965840	1.07788e+06	1.40543e+06	1.04491e+06	1.03788e+06	980289	774793	812657	817008	506287	517422	527614	789041	808296	691600	860733	795197	866796	1.38506e+06	1.13793e+06	1.15465e+06
P00375	P00375		Dhfr		32840.2	32985.4	31573	29276.3	28355	29566.1	30060.3	29869.6	29930.1	83900.8	80164.4	102605	22905.6	53232.7	57787.4	21361.3	28787.9	22502.7	15512	14927.6	15712	11673.8	11123	15716.9	24040.9	24347.3	23866.5	16321.7	13545.5	15929.6	15001.8	13035.7	15605.9
P00397	P00397		Mtco1		20221.1	16846.9	19570.6	18508.2	16289	21623	23231.1	22487.8	25096.3							43400.3	37588.8	44801.7	35673.5	34109.7	32894.4	14946.9	12794	14182.8	6430.17	5640.68	6801.41	26573.9	28232.1	29865.7	21442.8	26470.5	26600.3
P00405	P00405		Mtco2		358662	345575	294015	269617	260350	253438	254919	223059	252625	83928.6	1.37643e+06	1.23326e+06	534711	519411	549430	296481	289142	302071	282139	248528	255872	131053	186375	178510	272676	257416	241021	228689	274467	185910	356256	225697	436008
P00416	P00416		mt-Co3		6724.13	7028.47	6436.66	8436.71	6919.85	4515.2	7473.02	7412.75	7871.53							5963.56	5830.84	8767.57	10536.5	9034.02	10730.4	7471.53	6566.78	6381.44	11656.3	10633.7	4087.32	10040.2	8749.65	9408.84	13527.5	10747.8	10037.4
P00493	P00493		Hprt1		5099.2	4541.24	6090.08	5727.9	4713.03	5871.73	5488.44	5543.8	6058.68			12328.3		9371.03		4555.75	4095.37	4540.14	4804.98	5013.61	4845.03	5425.61	5475.05	5492.23	6151.66	6019.89	5873.93	5778.51	6492.96	5533.34	6357.92	5502.72	5388.73
P00687	P00687		Amy1		2371.58	5094.95	2894.13	1877.05	1658.16	2093.81	3968.84	4437.47	3519.54							3967.21	3021.78	3999.4	3640.25	3375.57	4267.77	6234.71	5279.6	5714.03	7874.66	7366.95	7083.11	3870.39	3500.21	3931.81	8141.22	7896.55	8241.3
P00688	P00688		Amy2		3237.05			1391.12	4515.24	3208.93	3557.68	3868.99	3256.97							3203.78	3491.91	2505.25	3811.13	3271.7	4519.82	8038.03	6573.07	10633.3	10043	9715.28	9412.48	7548.19	7452	6938.64	19476.8	17106.2	15427.7
P00848	P00848		Mtatp6		2852.89			1611.48	1496.26	1347.2	1635.76	1782.18	1659.03							1899.38	1618	1496.43	2486.8	2423.44	2443.81				1408.32	1358.55	1378.36	2889.62	3005.74	2982.83	4863.66	3551.06	3875.02
P00920	P00920		Ca2		24567.6	24316.5	26815.1	26549.9	25626.6	26343.4	22904.9	23890.7	24321.5	167097	162389	159311	77557.4	83813.7	78346	22437.1	21993.7	23601.3	21421.6	20190.5	21046.7	26330.9	30822.7	28813.8	31307.9	33720.5	26716.5	35123.6	35014.7	36174.8	38741.1	31048.6	32402.3
P01027	P01027		C3		41195.4	38241.8	40147.2	41562.9	43119.4	41731.6	39474.1	41567.4	40863.9	202453	194941	148662	74915.6	71029.6	63583.7	43916.8	42836.3	41896.9	41363.6	43387.6	41695.1	38210.7	36470.9	37864	35855.2	34813	34722.6	38104.2	38220.2	40491	72571.3	64782.7	52066.3
P01029	P01029		C4b		17958.8	15188.8	17454	14524.8	15581.1	15803	14396.5	14088.9	15030.4	71424.4	81899.3	62958.9	25573.5	23285	24140.9	14859.9	15434.3	15934.4	16538.7	15932	15773.5	15932	16268.4	16581.7	19739	18162	20723.5	14185.5	14384.3	14433.6	24404.3	23755.8	22707.6
P01592	P01592		Jchain		1849.24		1870.59	2056.38			2349.5	1965.7	2025.82							3893.72	3132.56	3111.9	5308.28	5165.1	4749.41	6744.89	6675.76	6343.82	9177.88	9209.73	8539.92	7191.82	7325.84	6717.05	3745.49	3670.46	4190.25
