Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	InGel_1_1 Spectral Count	InGel_1_2 Spectral Count	InGel_1_3 Spectral Count	InGel_1_4 Spectral Count	InGel_1_5 Spectral Count	InGel_1_6 Spectral Count	InGel_2_1 Spectral Count	InGel_2_2 Spectral Count	InGel_2_3 Spectral Count	InGel_2_4 Spectral Count	InGel_2_5 Spectral Count	InGel_2_6 Spectral Count	InTip_1_1 Spectral Count	InTip_1_2 Spectral Count	InTip_1_3 Spectral Count	InTip_1_4 Spectral Count	InTip_1_5 Spectral Count	InTip_1_6 Spectral Count	InTip_2_1 Spectral Count	InTip_2_2 Spectral Count	InTip_2_3 Spectral Count	InTip_2_4 Spectral Count	InTip_2_5 Spectral Count	InTip_2_6 Spectral Count	InGel_1_1 Unique Spectral Count	InGel_1_2 Unique Spectral Count	InGel_1_3 Unique Spectral Count	InGel_1_4 Unique Spectral Count	InGel_1_5 Unique Spectral Count	InGel_1_6 Unique Spectral Count	InGel_2_1 Unique Spectral Count	InGel_2_2 Unique Spectral Count	InGel_2_3 Unique Spectral Count	InGel_2_4 Unique Spectral Count	InGel_2_5 Unique Spectral Count	InGel_2_6 Unique Spectral Count	InTip_1_1 Unique Spectral Count	InTip_1_2 Unique Spectral Count	InTip_1_3 Unique Spectral Count	InTip_1_4 Unique Spectral Count	InTip_1_5 Unique Spectral Count	InTip_1_6 Unique Spectral Count	InTip_2_1 Unique Spectral Count	InTip_2_2 Unique Spectral Count	InTip_2_3 Unique Spectral Count	InTip_2_4 Unique Spectral Count	InTip_2_5 Unique Spectral Count	InTip_2_6 Unique Spectral Count	InGel_1_1 Total Spectral Count	InGel_1_2 Total Spectral Count	InGel_1_3 Total Spectral Count	InGel_1_4 Total Spectral Count	InGel_1_5 Total Spectral Count	InGel_1_6 Total Spectral Count	InGel_2_1 Total Spectral Count	InGel_2_2 Total Spectral Count	InGel_2_3 Total Spectral Count	InGel_2_4 Total Spectral Count	InGel_2_5 Total Spectral Count	InGel_2_6 Total Spectral Count	InTip_1_1 Total Spectral Count	InTip_1_2 Total Spectral Count	InTip_1_3 Total Spectral Count	InTip_1_4 Total Spectral Count	InTip_1_5 Total Spectral Count	InTip_1_6 Total Spectral Count	InTip_2_1 Total Spectral Count	InTip_2_2 Total Spectral Count	InTip_2_3 Total Spectral Count	InTip_2_4 Total Spectral Count	InTip_2_5 Total Spectral Count	InTip_2_6 Total Spectral Count	InGel_1_1 Intensity	InGel_1_2 Intensity	InGel_1_3 Intensity	InGel_1_4 Intensity	InGel_1_5 Intensity	InGel_1_6 Intensity	InGel_2_1 Intensity	InGel_2_2 Intensity	InGel_2_3 Intensity	InGel_2_4 Intensity	InGel_2_5 Intensity	InGel_2_6 Intensity	InTip_1_1 Intensity	InTip_1_2 Intensity	InTip_1_3 Intensity	InTip_1_4 Intensity	InTip_1_5 Intensity	InTip_1_6 Intensity	InTip_2_1 Intensity	InTip_2_2 Intensity	InTip_2_3 Intensity	InTip_2_4 Intensity	InTip_2_5 Intensity	InTip_2_6 Intensity	InGel_1_1 MaxLFQ Intensity	InGel_1_2 MaxLFQ Intensity	InGel_1_3 MaxLFQ Intensity	InGel_1_4 MaxLFQ Intensity	InGel_1_5 MaxLFQ Intensity	InGel_1_6 MaxLFQ Intensity	InGel_2_1 MaxLFQ Intensity	InGel_2_2 MaxLFQ Intensity	InGel_2_3 MaxLFQ Intensity	InGel_2_4 MaxLFQ Intensity	InGel_2_5 MaxLFQ Intensity	InGel_2_6 MaxLFQ Intensity	InTip_1_1 MaxLFQ Intensity	InTip_1_2 MaxLFQ Intensity	InTip_1_3 MaxLFQ Intensity	InTip_1_4 MaxLFQ Intensity	InTip_1_5 MaxLFQ Intensity	InTip_1_6 MaxLFQ Intensity	InTip_2_1 MaxLFQ Intensity	InTip_2_2 MaxLFQ Intensity	InTip_2_3 MaxLFQ Intensity	InTip_2_4 MaxLFQ Intensity	InTip_2_5 MaxLFQ Intensity	InTip_2_6 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q60854|SPB6_MOUSE	Q60854	SPB6_MOUSE	Serpinb6	378	Mus musculus OX=10090	1:Experimental evidence at protein level	Serpin B6	1.0	0.999	11	157	155	157	8	8	6	10	2	6	2	5	8	7	5	6	5	4	7	7	8	7	8	12	2	8	12	4	8	8	6	10	2	6	2	5	8	7	4	6	5	4	7	7	8	7	8	12	2	8	11	4	8	8	6	10	2	6	2	5	8	7	5	6	5	4	7	7	8	7	8	12	2	8	12	4	286662.97	186455.78	238105.4	138928.75	92335.65	221128.23	187690.66	291593.06	239967.23	190642.73	219367.47	230464.62	228426.12	115609.42	248220.77	252436.42	118888.31	245807.02	246384.03	170629.5	212231.4	149392.66	184924.33	219735.19	151248.7	129569.984	119323.24	161408.19	0.0	145526.62	132827.84	155135.69	126312.73	117236.24	148609.47	111639.97	130873.09	155141.27	132263.4	137027.25	139275.78	128574.17	111582.22	113166.62	127609.46	93460.29	117007.85	99898.03	
sp|Q60864|STIP1_MOUSE	Q60864	STIP1_MOUSE	Stip1	543	Mus musculus OX=10090	1:Experimental evidence at protein level	Stress-induced-phosphoprotein 1	1.0	0.999	43	1116	1116	1116	30	41	32	29	18	34	52	60	54	56	45	43	50	42	49	41	39	47	42	69	57	58	68	60	30	41	32	29	18	34	52	60	54	56	45	43	50	42	49	41	39	47	42	69	57	58	68	60	30	41	32	29	18	34	52	60	54	56	45	43	50	42	49	41	39	47	42	69	57	58	68	60	142152.8	165969.11	127046.63	182512.92	94257.19	145318.0	440164.03	545864.7	504391.5	534545.94	520731.88	482256.66	498719.6	540233.5	518354.8	471993.72	449777.53	463830.88	312577.44	501449.12	284945.25	494432.62	553586.4	367130.34	348844.3	394006.66	388020.3	404649.47	394999.2	342701.84	399072.9	388919.2	390876.9	370099.16	388689.12	345008.22	442291.16	441195.34	443362.6	428494.53	395230.53	416762.88	295859.8	367940.53	329855.28	390475.72	377765.22	345527.2	
sp|Q60865|CAPR1_MOUSE	Q60865	CAPR1_MOUSE	Caprin1	707	Mus musculus OX=10090	1:Experimental evidence at protein level	Caprin-1	1.0	0.999	14	180	180	180	3	4	4	3	8	3	8	9	9	5	5	8	5	5	9	7	7	11	7	9	8	16	13	14	3	4	4	3	8	3	8	9	9	5	5	8	5	5	9	7	7	11	7	9	8	16	13	14	3	4	4	3	8	3	8	9	9	5	5	8	5	5	9	7	7	11	7	9	8	16	13	14	317944.56	498715.38	285149.62	293606.06	444679.0	260589.17	672002.56	647569.5	690266.56	610133.4	607370.5	640184.7	365838.5	528631.06	529684.56	574817.2	512418.75	537297.9	524265.4	571966.44	525655.4	615531.7	639513.5	545323.9	209120.9	225714.81	182477.89	190923.98	162920.31	168809.52	287223.44	280292.44	305736.72	281423.0	278789.88	300110.47	212271.73	238009.36	240166.19	267941.62	244957.86	247691.36	202058.53	261819.86	210547.0	292613.6	287902.0	243206.47	
sp|Q60866|PTER_MOUSE	Q60866	PTER_MOUSE	Pter	349	Mus musculus OX=10090	1:Experimental evidence at protein level	Phosphotriesterase-related protein	1.0	0.999	18	485	485	485	14	17	15	12	10	10	24	23	22	29	21	23	23	21	18	20	17	21	21	31	15	28	26	24	14	17	15	12	10	10	24	23	22	29	21	23	23	21	18	20	17	21	21	31	15	28	26	24	14	17	15	12	10	10	24	23	22	29	21	23	23	21	18	20	17	21	21	31	15	28	26	24	587405.94	637834.6	527220.94	664772.0	427928.66	623092.0	806104.75	883359.4	774655.0	801415.25	883327.4	780407.4	699870.5	586545.5	599258.0	614355.9	637479.9	601225.1	652880.9	845686.75	544475.75	674289.1	832616.0	620433.8	225017.55	253383.17	209147.05	254162.11	161003.39	239265.12	308965.8	367786.2	328563.38	327757.84	349276.1	328372.84	289836.8	267681.84	285588.28	286030.88	295452.66	283344.97	302981.1	344466.4	244232.66	299200.53	338458.5	293610.2	
sp|Q60872|IF1A_MOUSE	Q60872	IF1A_MOUSE	Eif1a	144	Mus musculus OX=10090	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 1A	1.0	0.999	4	89	0	89	1	3	3	2	0	1	6	3	4	3	3	3	2	4	5	3	2	4	5	7	4	8	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	2	0	1	6	3	4	3	3	3	2	4	5	3	2	4	5	7	4	8	5	8	88406.46	104941.85	111365.36	105273.555	0.0	99223.17	260178.47	210643.44	236173.0	230160.75	225022.88	237491.9	155123.16	171270.52	159914.7	169961.84	165658.84	156715.75	149916.6	192833.19	165660.1	198861.05	224658.06	145916.28	0.0	0.0	0.0	122152.305	0.0	0.0	141341.12	120793.63	129519.46	124731.23	128284.484	127704.18	88893.36	93754.0	95342.99	96514.43	91677.14	87595.62	85556.22	109110.97	98689.46	110771.08	127202.586	85104.07	sp|Q8BMJ3|IF1AX_MOUSE
sp|Q60902|EP15R_MOUSE	Q60902	EP15R_MOUSE	Eps15l1	907	Mus musculus OX=10090	1:Experimental evidence at protein level	Epidermal growth factor receptor substrate 15-like 1	1.0	0.999	5	76	70	76	0	0	0	0	0	0	5	5	7	3	3	5	6	5	7	5	7	4	0	5	3	4	1	1	0	0	0	0	0	0	4	5	7	2	3	5	5	5	7	5	6	3	0	5	3	3	1	1	0	0	0	0	0	0	5	5	7	3	3	5	6	5	7	5	7	4	0	5	3	4	1	1	0.0	0.0	0.0	0.0	0.0	0.0	50537.293	54926.37	58534.875	52593.707	47078.39	53700.25	49891.54	44825.742	54397.754	43124.883	45747.953	45149.68	0.0	44511.023	42169.625	47710.496	42711.39	30337.44	0.0	0.0	0.0	0.0	0.0	0.0	65057.62	66704.95	62841.773	63349.16	0.0	58348.098	68869.83	64752.887	73994.18	61695.508	74476.336	64657.848	0.0	0.0	54765.73	55255.203	0.0	0.0	
sp|Q60930|VDAC2_MOUSE	Q60930	VDAC2_MOUSE	Vdac2	295	Mus musculus OX=10090	1:Experimental evidence at protein level	Voltage-dependent anion-selective channel protein 2	1.0	0.999	11	291	291	291	8	4	3	6	4	4	16	20	28	18	19	16	11	7	9	11	14	12	11	13	8	13	21	15	8	4	3	6	4	4	16	20	28	18	19	16	11	7	9	11	14	12	11	13	8	13	21	15	8	4	3	6	4	4	16	20	28	18	19	16	11	7	9	11	14	12	11	13	8	13	21	15	279981.84	296352.5	247778.88	301543.97	230319.12	270785.62	480301.0	565794.0	593471.7	601571.25	561461.25	554477.25	440814.97	455815.06	391498.44	361557.7	443872.88	409374.3	578598.5	643227.2	453427.94	547247.6	584299.56	471238.62	238641.88	253431.2	231719.5	229959.94	187494.39	244109.27	284101.7	326618.94	358484.56	326025.0	317969.47	294794.6	267157.44	271360.53	239180.52	264058.56	254601.17	231853.23	317190.06	368416.78	306512.88	301400.8	328102.1	278910.5	
sp|Q60931|VDAC3_MOUSE	Q60931	VDAC3_MOUSE	Vdac3	283	Mus musculus OX=10090	1:Experimental evidence at protein level	Voltage-dependent anion-selective channel protein 3	1.0	0.999	14	222	222	302	0	0	0	1	1	0	18	16	11	10	8	6	13	12	8	11	8	10	10	21	9	14	23	12	0	0	0	1	1	0	18	16	11	10	8	6	13	12	8	11	8	10	10	21	9	14	23	12	0	0	0	1	1	0	20	22	14	15	14	12	18	17	15	14	12	13	12	26	9	17	30	20	0.0	0.0	0.0	0.0	96362.16	0.0	372309.7	413305.25	428971.8	414477.2	315291.1	343357.44	512514.9	527786.06	491775.44	501106.1	157374.17	507118.56	287395.22	500519.25	248156.28	421666.2	496178.7	354775.56	0.0	0.0	0.0	0.0	0.0	0.0	244344.89	262264.2	273643.03	271397.94	186834.6	235388.69	215282.88	203946.69	175164.23	271364.66	159682.16	189514.97	253979.62	293427.56	190337.97	305665.3	325821.4	221761.75	
sp|Q60932|VDAC1_MOUSE	Q60932	VDAC1_MOUSE	Vdac1	296	Mus musculus OX=10090	1:Experimental evidence at protein level	Voltage-dependent anion-selective channel protein 1	1.0	0.999	20	544	464	544	5	8	7	8	4	5	20	31	21	24	20	30	34	34	30	32	29	26	25	30	18	37	37	29	5	8	7	8	4	5	18	25	18	19	14	24	29	29	23	29	25	23	23	25	18	34	30	21	5	8	7	8	4	5	20	31	21	24	20	30	34	34	30	32	29	26	25	30	18	37	37	29	634739.0	659151.25	673066.4	628556.06	308433.12	639538.94	994950.8	952621.25	973324.9	946724.75	895043.0	945783.1	978003.56	938963.56	950722.8	958568.9	1027499.5	973500.1	397606.8	784631.25	369115.25	785895.94	955677.75	444925.3	482723.78	518801.72	493537.84	481540.44	0.0	401411.53	651582.5	537077.75	531066.5	551196.44	469459.44	509247.2	667186.2	711252.1	646716.56	676565.7	707428.1	680013.8	350255.6	543637.75	323191.75	513146.16	621799.0	363839.38	
sp|Q60936|COQ8A_MOUSE	Q60936	COQ8A_MOUSE	Coq8a	645	Mus musculus OX=10090	1:Experimental evidence at protein level	Atypical kinase COQ8A, mitochondrial	1.0	0.999	31	766	766	766	20	25	16	19	40	26	22	20	24	29	31	30	30	35	41	35	36	38	30	46	30	54	46	43	20	25	16	19	40	26	22	20	24	29	31	30	30	35	41	35	36	38	30	46	30	54	46	43	20	25	16	19	40	26	22	20	24	29	31	30	30	35	41	35	36	38	30	46	30	54	46	43	769539.75	1048281.4	643072.5	884935.0	653848.8	778132.8	440440.75	391344.5	397304.34	412761.16	375148.72	420136.44	918327.1	915035.56	849091.0	931929.2	941646.0	846085.0	489703.1	540727.75	470388.06	542032.94	590190.6	469237.78	408417.47	466324.28	374270.03	475007.1	403666.53	378938.84	318818.1	268730.22	266909.2	298352.06	283733.84	290973.2	435029.53	437072.16	404578.03	421237.62	429186.03	403567.06	322017.5	291913.34	321983.16	307784.25	295090.1	311207.2	
sp|Q60953|PML_MOUSE	Q60953	PML_MOUSE	Pml	885	Mus musculus OX=10090	1:Experimental evidence at protein level	Protein PML	1.0	0.999	8	89	89	89	2	1	3	2	0	2	5	4	9	5	4	5	3	4	0	4	3	5	5	2	5	6	5	5	2	1	3	2	0	2	5	4	9	5	4	5	3	4	0	4	3	5	5	2	5	6	5	5	2	1	3	2	0	2	5	4	9	5	4	5	3	4	0	4	3	5	5	2	5	6	5	5	215014.5	175971.2	164016.53	222135.33	0.0	228367.7	171564.69	108839.625	199604.05	165767.5	167067.69	167930.77	225814.94	171892.67	0.0	247438.45	144530.75	207048.4	120810.32	79931.37	60106.027	149120.52	197699.44	61919.08	0.0	0.0	169418.23	0.0	0.0	0.0	124636.97	110766.516	133164.94	108357.71	121939.73	116251.61	161886.45	181579.89	0.0	176264.25	166874.3	153518.17	88455.93	87680.91	72276.11	107547.66	133160.3	78096.96	
sp|Q60960|IMA5_MOUSE	Q60960	IMA5_MOUSE	Kpna1	538	Mus musculus OX=10090	1:Experimental evidence at protein level	Importin subunit alpha-5	1.0	0.999	8	61	33	61	1	0	0	0	0	0	3	0	2	3	2	1	6	3	6	6	4	5	2	4	1	5	4	3	0	0	0	0	0	0	2	0	2	1	2	1	3	2	3	3	2	3	0	2	1	3	3	0	1	0	0	0	0	0	3	0	2	3	2	1	6	3	6	6	4	5	2	4	1	5	4	3	0.0	0.0	0.0	0.0	0.0	0.0	40006.965	0.0	41830.42	39127.836	35578.58	39271.926	52014.945	49732.098	56599.004	56790.973	57122.1	53052.656	0.0	37635.977	0.0	35012.344	44265.473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51868.504	0.0	0.0	55037.625	0.0	0.0	75002.65	67526.91	84651.91	76944.65	75430.81	72564.43	0.0	52539.832	0.0	47182.74	57426.07	0.0	
sp|Q60967|PAPS1_MOUSE	Q60967	PAPS1_MOUSE	Papss1	624	Mus musculus OX=10090	1:Experimental evidence at protein level	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.0	0.999	6	16	16	19	0	0	0	0	0	0	1	2	2	0	2	1	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	0	0	0	1	2	2	0	2	1	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	0	0	0	1	2	2	0	2	1	0	0	0	0	0	0	0	1	0	3	5	2	0.0	0.0	0.0	0.0	0.0	0.0	29455.982	28599.229	30823.756	0.0	27319.492	24399.516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29293.666	0.0	48977.875	40900.453	36417.496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33089.33	0.0	29326.986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52576.77	43905.82	0.0	
sp|Q60972|RBBP4_MOUSE	Q60972	RBBP4_MOUSE	Rbbp4	425	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone-binding protein RBBP4	1.0	0.999	8	98	51	98	0	2	0	0	0	0	3	6	3	4	3	7	5	4	5	3	5	3	6	8	6	8	8	9	0	0	0	0	0	0	1	3	2	1	3	3	1	2	2	1	2	1	4	3	3	6	6	7	0	2	0	0	0	0	3	6	3	4	3	7	5	4	5	3	5	3	6	8	6	8	8	9	0.0	97817.25	0.0	0.0	0.0	0.0	179718.0	177982.19	127037.52	220954.48	135251.06	219695.53	243475.88	152454.31	155844.47	167871.47	232507.44	142348.44	230453.44	293484.16	257451.72	242282.0	299022.62	239905.31	0.0	76842.15	0.0	0.0	0.0	0.0	83954.59	118387.98	138624.52	101551.04	156505.22	106381.125	107327.555	95842.36	98853.98	113262.66	98697.484	87970.56	146852.08	137997.61	156624.98	139974.28	145179.02	148223.12	
sp|Q60973|RBBP7_MOUSE	Q60973	RBBP7_MOUSE	Rbbp7	425	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone-binding protein RBBP7	1.0	0.999	6	51	51	78	0	0	0	0	0	0	0	2	1	4	5	5	0	0	0	0	0	0	6	2	8	7	6	5	0	0	0	0	0	0	0	2	1	4	5	5	0	0	0	0	0	0	6	2	8	7	6	5	0	0	0	0	0	0	0	5	2	7	5	9	0	0	0	0	0	0	8	7	11	9	8	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32769.24	25662.385	29819.74	30812.363	27034.398	0.0	0.0	0.0	0.0	0.0	0.0	30228.986	28254.016	37169.715	27358.156	25277.535	33523.605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50605.227	0.0	0.0	0.0	0.0	0.0	0.0	55235.504	0.0	65043.953	58032.758	52894.793	54300.41	
sp|Q60991|CP7B1_MOUSE	Q60991	CP7B1_MOUSE	Cyp7b1	507	Mus musculus OX=10090	1:Experimental evidence at protein level	25-hydroxycholesterol 7-alpha-hydroxylase	1.0	0.999	27	884	884	884	14	18	23	15	15	23	29	18	25	28	21	42	60	49	60	67	46	63	49	42	25	51	58	43	14	18	23	15	15	23	29	18	25	28	21	42	60	49	60	67	46	63	49	42	25	51	58	43	14	18	23	15	15	23	29	18	25	28	21	42	60	49	60	67	46	63	49	42	25	51	58	43	1131379.9	1296192.5	1031167.8	805869.75	608521.8	875758.75	873424.56	632759.9	830098.25	950451.1	646447.0	1058251.0	1251257.8	1323677.8	1258294.2	1201165.0	1035840.6	1133333.9	593397.5	737910.75	399077.44	774716.2	754075.0	596844.8	616253.8	723194.56	608688.1	445911.47	357005.47	435602.25	499679.3	382757.94	498442.84	517627.28	375640.38	509112.0	584194.94	659725.1	707529.56	603974.5	495937.75	599889.1	444440.72	491753.0	311204.2	452653.22	469245.72	436257.44	
sp|Q60992|VAV2_MOUSE	Q60992	VAV2_MOUSE	Vav2	868	Mus musculus OX=10090	1:Experimental evidence at protein level	Guanine nucleotide exchange factor VAV2	1.0	0.999	4	18	18	18	2	1	0	1	0	0	0	0	2	0	0	2	2	2	0	0	2	0	1	1	1	0	1	0	2	1	0	1	0	0	0	0	2	0	0	2	2	2	0	0	2	0	1	1	1	0	1	0	2	1	0	1	0	0	0	0	2	0	0	2	2	2	0	0	2	0	1	1	1	0	1	0	28662.064	0.0	0.0	31979.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16440.902	0.0	34227.523	0.0	0.0	0.0	0.0	0.0	11771.123	17267.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72803.78	0.0	151544.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q60996|2A5G_MOUSE	Q60996	2A5G_MOUSE	Ppp2r5c	524	Mus musculus OX=10090	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	0.9989	0.9967	4	11	11	12	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35726.598	0.0	0.0	51941.355	0.0	7175.205	0.0	708860.0	712285.5	857140.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q61009|SCRB1_MOUSE	Q61009	SCRB1_MOUSE	Scarb1	509	Mus musculus OX=10090	1:Experimental evidence at protein level	Scavenger receptor class B member 1	1.0	0.999	8	106	106	106	3	1	4	2	4	2	5	4	5	7	4	6	2	4	3	3	3	3	6	6	6	9	6	8	3	1	4	2	4	2	5	4	5	7	4	6	2	4	3	3	3	3	6	6	6	9	6	8	3	1	4	2	4	2	5	4	5	7	4	6	2	4	3	3	3	3	6	6	6	9	6	8	189758.81	153420.7	141510.4	162526.06	173598.95	169820.62	227223.56	182287.39	226569.44	294511.7	231765.5	266955.06	177826.94	176307.06	173109.19	190601.23	186788.88	183131.28	271700.1	263783.66	290124.7	268197.0	263031.88	271432.06	211729.19	0.0	153146.72	0.0	197449.14	0.0	163962.84	205887.72	166189.16	190851.12	143762.88	192014.1	159249.44	158332.62	155466.22	170849.6	167248.58	164434.6	220909.12	221088.44	238636.98	226502.72	213972.62	218375.8	
sp|Q61011|GBB3_MOUSE	Q61011	GBB3_MOUSE	Gnb3	340	Mus musculus OX=10090	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	0.9473	0.9976	3	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77310.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q61012|GBG1_MOUSE	Q61012	GBG1_MOUSE	Gngt1	74	Mus musculus OX=10090	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(T) subunit gamma-T1	0.9996	0.9972	1	36	36	36	1	1	0	2	0	0	1	3	2	2	1	2	3	3	1	1	4	2	0	3	0	2	2	0	1	1	0	2	0	0	1	3	2	2	1	2	3	3	1	1	4	2	0	3	0	2	2	0	1	1	0	2	0	0	1	3	2	2	1	2	3	3	1	1	4	2	0	3	0	2	2	0	56766.902	68403.98	0.0	68002.94	0.0	0.0	65063.754	107358.35	104184.72	97441.836	21233.322	104627.13	109242.58	13382.737	101536.79	0.0	135670.83	89165.29	0.0	12903.563	0.0	14165.388	18654.627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83767.52	87218.37	79819.14	0.0	81698.6	98762.67	0.0	0.0	0.0	102080.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q61029|LAP2B_MOUSE	Q61029	LAP2B_MOUSE	Tmpo	452	Mus musculus OX=10090	1:Experimental evidence at protein level	Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma	1.0	0.999	10	127	31	127	5	2	5	5	2	5	6	2	2	5	1	8	12	0	8	11	13	12	1	2	5	9	4	2	0	0	0	0	0	0	2	0	0	1	0	3	5	0	4	3	6	3	0	0	2	2	0	0	5	2	5	5	2	5	6	2	2	5	1	8	12	0	8	11	13	12	1	2	5	9	4	2	40984.656	48133.527	50193.582	55037.15	0.0	52653.21	39597.29	0.0	34635.867	27792.63	0.0	37933.27	51089.156	0.0	51427.004	60856.703	63522.12	56103.367	0.0	0.0	0.0	33330.96	16157.815	0.0	0.0	0.0	0.0	59922.37	0.0	0.0	51869.8	0.0	0.0	39046.984	0.0	48355.246	64512.195	0.0	68137.39	78286.07	74138.15	68694.88	0.0	0.0	66072.625	44982.273	20188.783	0.0	
sp|Q61033|LAP2A_MOUSE	Q61033	LAP2A_MOUSE	Tmpo	693	Mus musculus OX=10090	1:Experimental evidence at protein level	Lamina-associated polypeptide 2, isoforms alpha/zeta	1.0	0.999	10	7	7	35	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	6	6	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8	0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q61035|SYHC_MOUSE	Q61035	SYHC_MOUSE	Hars	509	Mus musculus OX=10090	1:Experimental evidence at protein level	Histidine--tRNA ligase, cytoplasmic	1.0	0.999	22	270	227	270	9	3	4	7	8	9	9	13	13	11	12	11	16	13	17	13	11	13	14	12	11	15	15	11	7	2	3	6	7	8	7	11	11	9	10	9	14	12	15	11	9	11	11	10	10	12	13	9	9	3	4	7	8	9	9	13	13	11	12	11	16	13	17	13	11	13	14	12	11	15	15	11	328294.88	345930.5	347300.53	325368.56	237285.06	291223.66	285664.1	263445.16	227090.53	265118.0	268598.22	239535.97	329683.62	338495.47	347724.25	340662.56	326517.5	333749.84	232011.56	251850.06	116765.41	175755.22	291535.84	238994.1	176454.78	186821.95	155135.33	177214.88	119394.836	140259.86	152299.34	160346.73	140551.84	153695.89	163822.84	148308.22	150335.92	156311.77	165246.36	158783.4	155394.7	151718.12	119989.21	124926.95	122567.38	137306.64	135635.2	126413.36	
